division,facility_count,total_cap_ac,total_cap_dc
East North Central,56,367.95,505.09999999999997
East South Central,4,331.7,417.0
Middle Atlantic,53,273.5,362.8
Mountain,28,1273.6,1505.2
New England,41,201.07999999999998,276.5
Pacific,71,1928.3,2501.6
South Atlantic,128,4114.09,5599.24
West North Central,96,134.1,182.2
West South Central,24,2991.6,3832.4
